"Kabupaten/Kota Se Jawa Timur","Penduduk Miskin","TPT","IPM","BANSOS","GINI RASIO"
"Kabupaten Pacitan","76.93","3.65","69.37","16.68","0.338"
"Kabupaten Ponorogo","81.80","5.51","71.87","9.83","0.336"
"Kabupaten Trenggalek","76.75","5.37","71","5.93","0.331"
"Kabupaten Tulungagung","70.52","6.65","74.06","18.10","0.342"
"Kabupaten Blitar","101.94","5.45","71.86","2.24","0.335"
"Kabupaten Kediri","169.46","6.83","73.46","7.12","0.329"
"Kabupaten Malang","252.88","6.57","71.38","5.29","0.368"
"Kabupaten Lumajang","95.04","4.97","66.95","13.50","0.349"
"Kabupaten Jember","232.73","4.06","67.97","3.10","0.301"
"Kabupaten Banyuwangi","122.01","5.26","71.94","62.46","0.329"
"Kabupaten Bondowoso","105.69","4.32","67.31","4.02","0.365"
"Kabupaten Situbondo","81.46","3.38","68.25","5.15","0.298"
"Kabupaten Probolinggo","203.23","3.25","66.96","8.17","0.275"
"Kabupaten Pasuruan","148.62","5.91","69.68","10.21","0.325"
"Kabupaten Sidoarjo","125.69","8.80","81.02","18.56","0.373"
"Kabupaten Mojokerto","111.03","4.83","74.89","7.44","0.327"
"Kabupaten Jombang","115.48","5.47","74.05","17.96","0.310"
"Kabupaten Nganjuk","113.63","4.74","72.93","19.73","0.301"
"Kabupaten Madiun","74.07","5.84","72.39","17.88","0.354"
"Kabupaten Magetan","62.65","4.33","74.85","8.18","0.352"
"Kabupaten Ngawi","119.02","2.48","71.75","9.34","0.300"
"Kabupaten Bojonegoro","153.40","4.69","70.12","7.65","0.280"
"Kabupaten Tuban","178.05","4.54","69.67","7.63","0.345"
"Kabupaten Lamongan","151.08","6.05","74.02","13.03","0.273"
"Kabupaten Gresik","149.64","7.84","77.16","19.03","0.363"
"Kabupaten Bangkalan","196.11","8.05","65.05","1.17","0.306"
"Kabupaten Sampang","217.97","3.11","63.39","6.03","0.280"
"Kabupaten Pamekasan","126.02","1.40","66.99","0.00","0.305"
"Kabupaten Sumenep","206.20","1.36","67.87","10.51","0.266"
"Kota Kediri","21.15","4.38","79.59","30.29","0.371"
"Kota Blitar","10.65","5.39","79.93","26.38","0.381"
"Kota Malang","38.56","7.66","82.71","15.91","0.421"
"Kota Probolinggo","16.16","4.57","74.56","0.62","0.322"
"Kota Pasuruan","13.02","6.18","76.54","14.34","0.360"
"Kota Mojokerto","7.88","5.05","79.32","15.64","0.381"
"Kota Madiun","8.49","6.39","82.01","15.81","0.398"
"Kota Surabaya","138.21","7.62","82.74","7.76","0.388"
"Kota Batu","8.05","8.43","77.22","16.62","0.308"
